timestamp,cpu_percent,memory_percent,memory_used_mb,memory_total_mb,swap_mb,disk_percent,memory_pressure,claude_processes,performance_score,alerts
2025-08-23 15:57:32,16.78,8.5,1403,16384,2703.31,63,39%,12,62,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:57:39,23.6,8.6,1417,16384,2703.31,63,37%,12,59,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:57:46,17.02,8.4,1387,16384,2703.31,63,37%,12,61,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:57:53,18.22,8.7,1432,16384,2703.31,63,37%,12,61,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:57:59,8.23,8.7,1426,16384,2703.31,63,39%,12,64,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:06,8.57,8.4,1389,16384,2703.31,63,38%,12,64,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:13,22.84,8.7,1434,16384,2703.31,63,31%,12,60,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:20,9.52,8.2,1349,16384,2703.31,63,36%,12,64,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:26,10.34,8.5,1406,16384,2703.31,63,39%,12,63,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:33,11.62,8.5,1397,16384,2703.31,63,38%,12,63,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:40,8.9,8.5,1406,16384,2703.31,63,39%,12,64,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:46,6.49,8.4,1387,16384,2703.31,63,39%,12,65,HIGH_SWAP;MEM_PRESSURE;
2025-08-23 15:58:53,19.3,8.8,1447,16384,2703.31,63,39%,12,61,HIGH_SWAP;MEM_PRESSURE;
